Rank,City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,Bangalore,29.5,11.3,20.8,30.5,23.9,106.3
2,Gurgaon,27,8.4,18.1,28.1,22.2,89.5
3,Noida,26.6,4.9,16.2,25.8,22,81.5
4,Mumbai,25.3,19.2,22.4,25.3,20.9,52.9
5,New Delhi,25.3,7.3,16.7,24.4,21.7,76.2
6,Pune,25.2,7.1,16.5,25.2,22.5,102.3
7,Hyderabad,25,6,15.9,26.2,18,82
8,Navi Mumbai,24.5,9.2,17.2,25.7,18.5,77.7
9,Ahmedabad,24.3,6.7,15.9,26.4,18,45.6
10,Thane,24.2,8.9,16.9,23.1,22.2,62.5
11,Patna,23.4,4.4,14.4,24.2,15.9,36.1
12,Vadodara,23.3,3.2,13.7,25.2,16.1,51.4
13,Chennai,23.3,5.7,14.9,25.6,14,68.7
14,Jaipur,23.1,5,14.4,22.8,15.4,49.7
15,Surat,22.7,13.7,18.4,24.4,15.1,31.9
16,Chandigarh,22.6,5.3,14.3,21.5,17.4,72.5
17,Ludhiana,22.5,4.5,13.9,22.2,16.1,42.1
18,Guwahati,22.5,4.2,13.8,23.3,17.1,54.4
19,Bhubaneswar,22.5,3.4,13.4,23.7,13.6,53.6
20,Nagpur,22.4,3.9,13.6,23.6,18.9,57.4
21,Kolkata,22.1,4.8,13.8,23.7,14.8,48.9
22,Bhopal,21.7,2.9,12.7,22.5,14.5,49.9
23,Lucknow (Lakhnau),21.3,3.9,13,19.9,12.4,51
24,Kochi,21.2,4.6,13.2,23.1,10.8,69.6
25,Indore,20.3,3.5,12.3,20.8,15.6,61.7
26,Coimbatore,20.2,3.8,12.4,22,11.3,47.6